"filename", "language", "JSON", "Properties", "JavaScript", "vue", "Markdown", "HTML", "CSS", "XML", "comment", "blank", "total"
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\.env", "Properties", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\README.md", "Markdown", 0, 0, 0, 0, 117, 0, 0, 0, 0, 92, 209
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\babel.config.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\package-lock.json", "JSON", 26356, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26357
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\package.json", "JSON", 31, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\public\index.html", "HTML", 0, 0, 0, 0, 0, 16, 0, 0, 1, 1, 18
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\src\App.vue", "vue", 0, 0, 0, 26, 0, 0, 0, 0, 0, 6, 32
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\src\api\auth\auth.js", "JavaScript", 0, 0, 26, 0, 0, 0, 0, 0, 4, 2, 32
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\src\api\billboard.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\src\api\comment.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 4, 21
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\src\api\follow.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 3, 4, 26
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\src\api\post.js", "JavaScript", 0, 0, 46, 0, 0, 0, 0, 0, 4, 7, 57
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\src\api\promote.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 1, 2, 10
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\src\api\search.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 1, 2, 15
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\src\api\tag.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\src\api\tip.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\src\api\user.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 3, 4, 31
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\src\assets\app.css", "CSS", 0, 0, 0, 0, 0, 0, 114, 0, 12, 25, 151
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\src\assets\plugins\font-awesome-4.7.0\css\font-awesome.css", "CSS", 0, 0, 0, 0, 0, 0, 2327, 0, 10, 1, 2338
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\src\assets\plugins\font-awesome-4.7.0\css\font-awesome.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 3, 1, 5
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\src\assets\plugins\font-awesome-4.7.0\fonts\fontawesome-webfont.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 2671, 0, 1, 2672
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\src\components\Backtop\BackTop.vue", "vue", 0, 0, 0, 25, 0, 0, 0, 0, 0, 3, 28
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\src\components\Comment\Comments.vue", "vue", 0, 0, 0, 54, 0, 0, 0, 0, 0, 4, 58
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\src\components\Comment\CommentsForm.vue", "vue", 0, 0, 0, 68, 0, 0, 0, 0, 0, 3, 71
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\src\components\Comment\CommentsItem.vue", "vue", 0, 0, 0, 28, 0, 0, 0, 0, 0, 5, 33
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\src\components\Layout\Footer.vue", "vue", 0, 0, 0, 53, 0, 0, 0, 0, 1, 7, 61
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\src\components\Layout\Header.vue", "vue", 0, 0, 0, 172, 0, 0, 0, 0, 0, 10, 182
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\src\components\Pagination\index.vue", "vue", 0, 0, 0, 99, 0, 0, 0, 0, 0, 5, 104
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\src\main.js", "JavaScript", 0, 0, 30, 0, 0, 0, 0, 0, 4, 9, 43
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\src\permission.js", "JavaScript", 0, 0, 30, 0, 0, 0, 0, 0, 6, 6, 42
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\src\router\index.js", "JavaScript", 0, 0, 86, 0, 0, 0, 0, 0, 7, 6, 99
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\src\store\getters.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\src\store\index.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 3, 15
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\src\store\modules\user.js", "JavaScript", 0, 0, 73, 0, 0, 0, 0, 0, 3, 5, 81
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\src\user.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 3, 4, 31
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\src\utils\auth.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 0, 3, 8, 32
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\src\utils\get-page-title.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\src\utils\request.js", "JavaScript", 0, 0, 57, 0, 0, 0, 0, 0, 20, 5, 82
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\src\utils\scroll-to.js", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 0, 15, 5, 59
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\src\views\Home.vue", "vue", 0, 0, 0, 40, 0, 0, 0, 0, 0, 3, 43
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\src\views\Search.vue", "vue", 0, 0, 0, 95, 0, 0, 0, 0, 2, 9, 106
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\src\views\auth\Login.vue", "vue", 0, 0, 0, 110, 0, 0, 0, 0, 0, 6, 116
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\src\views\auth\Register.vue", "vue", 0, 0, 0, 143, 0, 0, 0, 0, 0, 7, 150
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\src\views\card\CardBar.vue", "vue", 0, 0, 0, 18, 0, 0, 0, 0, 3, 6, 27
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\src\views\card\LoginWelcome.vue", "vue", 0, 0, 0, 27, 0, 0, 0, 0, 0, 5, 32
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\src\views\card\Promotion.vue", "vue", 0, 0, 0, 36, 0, 0, 0, 0, 0, 4, 40
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\src\views\card\Tip.vue", "vue", 0, 0, 0, 39, 0, 0, 0, 0, 0, 5, 44
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\src\views\error\404.vue", "vue", 0, 0, 0, 38, 0, 0, 0, 0, 0, 2, 40
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\src\views\post\Author.vue", "vue", 0, 0, 0, 99, 0, 0, 0, 0, 0, 5, 104
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\src\views\post\Create.vue", "vue", 0, 0, 0, 146, 0, 0, 0, 0, 1, 8, 155
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\src\views\post\Detail.vue", "vue", 0, 0, 0, 138, 0, 0, 0, 0, 6, 10, 154
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\src\views\post\Edit.vue", "vue", 0, 0, 0, 101, 0, 0, 0, 0, 1, 7, 109
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\src\views\post\Index.vue", "vue", 0, 0, 0, 143, 0, 0, 0, 0, 3, 12, 158
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\src\views\post\Recommend.vue", "vue", 0, 0, 0, 50, 0, 0, 0, 0, 0, 5, 55
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\src\views\tag\Tag.vue", "vue", 0, 0, 0, 100, 0, 0, 0, 0, 0, 10, 110
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\src\views\user\Profile.vue", "vue", 0, 0, 0, 123, 0, 0, 0, 0, 3, 10, 136
"d:\code_position\study\class\project\poemAPP\Poem\code\Web\doubao_community_frontend-master\src\views\user\Setting.vue", "vue", 0, 0, 0, 114, 0, 0, 0, 0, 0, 7, 121
"Total", "-", 26387, 1, 565, 2085, 117, 16, 2442, 2671, 123, 370, 34777